site,T1,T2,T3
1,0.1096,-0.0241,0
2,-0.0322,0,0.0305
4,0.1357,-0.0576,0
5,0.2269,0,-0.0738
6,0.072,0,-0.0173
7,0.0575,-0.1703,0
8,0,-0.0239,0.01
9,0.1244,0,-0.0378
10,0.0639,-0.0772,0
11,0.3073,0,-0.0237
12,0.0803,0,-0.0328
13,0.2118,0,-0.0144
14,0.1635,0,-0.0333
15,0,-0.0845,0.0057
16,0.1864,0,-0.0357
17,0.0538,0,-0.0513
18,0,-0.0622,0.0176
19,0,-0.0822,0.0281
21,0.1446,0,-0.1045
22,0.0869,0,-0.034
23,0.237,-0.0169,0
24,0,0.0433,-0.0619
25,0.1386,-0.1208,0
26,0.0276,-0.0031,0
27,0,-0.0801,0.0161
28,0.1306,-0.0018,0
29,0.2512,0,-0.013
30,0.1066,0,-0.089
31,0.0577,-0.0686,0
32,0.3203,-0.0315,0
33,0.1495,0,-0.033
34,0.0758,0,-0.0372
35,0,0.0269,-0.1087
36,0.2375,-0.0127,0
37,1e-04,0,-0.1492
38,0.1287,-0.0779,0
39,0.1559,0,-0.017
40,0.1446,-0.0906,0
41,0.1234,0,-0.0208
43,0.1432,-0.033,0
44,0.0289,0,-0.0807
46,0.0742,0,-0.0466
47,0.0084,0,-0.0213
48,0,0.0191,-0.0998
49,0.1945,0,-0.0526
50,0.2292,-0.0399,0
51,0.1465,-0.1111,0
52,0.2133,0,-0.0336
53,0,0.0064,-0.1073
101,-0.0743,0,0.0986
102,0,0.1126,-0.0793
103,0,-5e-04,0.1557
104,0.0199,-0.0287,0
105,-0.0025,0.049,0
106,0,-0.005,0.0264
107,0.1105,-0.0126,0
108,-0.0879,0.0681,0
109,0,-0.0368,0.0421
110,-0.0118,0,0.0875
111,0.0722,0,-0.1015
112,0,0.0853,-0.0209
113,0,-0.0239,0.0296
114,-0.0873,0.0093,0
115,0.005,-0.0031,0
116,-0.0196,0.0397,0
117,0,0.051,-0.1431
118,-0.1274,0.0206,0
119,-0.0426,0.0228,0
120,0,0.0357,-0.0699
