site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
1,2019,9,0.5333333333333333,0.5333333333333333,a,4.6,10.6,-1.7,7.36,1.94,5.55,0.06,97.4,94.7,100,66.8,73.59,63.12,56.12,0,16,10,8,0
1,2019,10,1,1,a,1.69,9.8,-5.5,3.29,-0.11,2.38,0.02,99.8,98.5,100,83.2,64.81,47.35,34.19,-12.38,22,8,5,9
1,2019,11,1,1,a,-2.41,4.3,-15.4,-1.07,-4.18,1.94,0.02,98.7,98,100,92.3,9.21,0,0,-81.62,7,0,0,23
1,2019,12,1,1,a,-2.23,1.3,-14.7,-1.09,-3.7,1.96,0.02,96.7,96.1,98.6,87.1,2.27,0,0,-71.35,5,0,0,26
1,2020,1,1,1,a,-2.52,2.9,-16.8,-0.83,-4.35,3.24,0.03,94.1,93.9,98.2,82.7,8.68,0,0,-86.92,10,0,0,21
1,2020,2,1,1,a,-3.8,3.4,-15.8,-1.84,-6.03,3.03,0.03,93.5,93.1,97.8,81.3,7.38,0,0,-117.72,9,0,0,20
1,2020,3,1,1,a,-1.92,6.3,-11.8,0.75,-4.93,10.51,0.13,87.7,82.6,97.5,46.6,16.28,3.52,0,-75.66,10,1,0,21
1,2020,4,1,1,a,0.01,7.6,-9.4,3,-2.96,7.39,0.09,80.5,80.6,95.8,49.3,19.13,3.34,0,-18.72,17,1,0,13
1,2020,5,1,1,a,6.89,21.1,-2.2,11.38,1.96,13.14,0.19,66.9,68.3,95.6,28.6,213.57,205.91,169.88,0,31,27,18,0
1,2020,6,1,1,a,17.02,29.3,6,21.84,11.82,9.74,0.15,61.4,64.7,96,35.6,510.69,510.69,510.69,0,30,30,30,0
1,2020,7,1,1,a,14.87,26.1,8.7,18.52,11.33,7.77,0.1,80.8,81.1,97.1,40.8,460.82,460.82,460.82,0,31,31,31,0
1,2020,8,1,1,a,14.21,24.6,5.9,17.94,10.78,5.31,0.06,82.2,82.4,98.2,51.5,440.39,440.39,440.39,0,31,31,31,0
1,2020,9,1,1,a,9.9,17.6,1.4,12.82,7.2,4.89,0.05,92.2,91.6,100,70.3,297.02,297.02,297.02,0,30,30,30,0
1,2020,10,1,1,a,5.31,13.4,-2.3,6.84,3.65,2.88,0.03,98.2,97,100,82.6,168.55,158.57,150.41,-3.91,27,19,17,4
1,2020,11,1,1,a,1.08,9.4,-5.4,2.47,-0.49,3.54,0.04,97.3,96.1,100,85.5,51.24,32.51,19.27,-18.74,18,6,3,12
1,2020,12,1,1,a,-2.7,2.7,-8.8,-1.3,-4.1,2.1,0.02,96.5,97.1,100,92.7,4.97,0,0,-88.83,4,0,0,27
1,2021,1,1,1,a,-8.69,0.2,-29.3,-6.65,-11.15,3.37,0.04,94.2,94.6,100,85.5,0.01,0,0,-269.3,2,0,0,30
1,2021,2,1,1,a,-12.54,0.7,-25,-10.17,-15.06,2.5,0.03,92.2,92.7,100,87.6,0.17,0,0,-351.17,1,0,0,27
1,2021,3,1,1,a,-4.23,7.2,-27,-1.35,-7.19,3.99,0.04,90.2,90,100,66.6,16.65,3.22,0,-147.64,11,1,0,20
1,2021,4,1,1,a,1.62,9.9,-4.5,4.68,-1.08,9.6,0.11,84.1,83.8,100,42.3,49.55,27.44,0,-0.99,27,7,0,3
1,2021,5,0.3548387096774194,0.3548387096774194,a,3,12.6,-3.8,6.45,-0.25,13.47,0.18,70.2,74.7,97.1,38.6,33.33,26.93,15.52,-0.3,10,5,2,1
2,2019,9,0.5333333333333333,0.5333333333333333,a,4.68,10.3,-2.1,7.3,1.82,6.05,0.07,91.6,91.7,99.7,63.9,74.92,62.52,55.29,0,16,10,8,0
2,2019,10,1,1,a,1.69,9.4,-7.2,3.31,-0.21,2.62,0.03,99.7,98,100,82,64.61,44.12,33.13,-12.22,27,8,5,4
2,2019,11,1,1,a,-2.38,2.9,-15.6,-1.02,-4.18,1.74,0.02,99.4,98.7,100,91.9,8.04,0,0,-79.36,8,0,0,22
2,2019,12,1,1,a,-2.3,1,-15,-0.86,-4.06,1.9,0.02,98.8,98.3,100,91.5,2.52,0,0,-73.95,12,0,0,19
2,2020,1,1,1,a,-2.83,2.9,-17,-1.01,-4.76,3.96,0.04,95.8,94.7,99.3,78.6,6.4,0,0,-94.25,10,0,0,21
2,2020,2,1,1,a,-4.18,2.1,-17.1,-1.98,-6.71,3.24,0.03,94.2,93.7,98.3,78.7,5.22,0,0,-126.42,9,0,0,20
