site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
1,2020,352,15,366,183,183,1,2019-10-28,2020-04-27,118,0,92,116,167,155,2,2019-11-10,2020-04-27,118,116,48,5,2019-11-10,2020-04-22,113
1,2021,365,1,365,157,146,2,2020-11-25,2021-05-02,122,0,42,92,145,106,3,2020-11-25,2021-05-02,122,97,97,1,2021-01-24,2021-04-30,120
2,2020,352,15,366,184,163,2,2019-10-29,2020-05-03,124,54,112,114,172,163,2,2019-11-10,2020-05-03,124,129,63,4,2019-12-12,2020-05-02,123
2,2021,365,1,365,163,113,2,2020-11-24,2021-05-09,129,10,88,138,46,46,1,2021-03-24,2021-05-08,128,37,37,1,2021-03-24,2021-04-29,119
4,2020,352,15,366,165,156,2,2019-11-04,2020-04-26,117,0,78,125,165,156,2,2019-11-04,2020-04-26,117,164,154,2,2019-11-09,2020-04-29,120
4,2021,365,1,365,165,147,3,2020-11-09,2021-05-03,123,12,6,102,165,147,3,2020-11-09,2021-05-03,123,156,141,2,2020-11-22,2021-05-04,124
5,2020,352,15,366,172,148,2,2019-10-28,2020-04-18,109,0,122,184,158,146,2,2019-11-09,2020-04-18,109,44,20,3,2019-12-12,2020-02-18,49
5,2021,365,1,365,147,147,1,2020-11-24,2021-04-19,109,4,70,118,127,86,3,2020-11-24,2021-04-19,109,74,52,2,2021-02-03,2021-04-18,108
6,2020,352,15,366,191,191,1,2019-10-28,2020-05-05,126,4,22,92,187,187,1,2019-11-01,2020-05-05,126,172,161,2,2019-11-10,2020-05-06,127
6,2021,365,1,365,171,171,1,2020-11-20,2021-05-09,129,136,54,112,164,149,2,2020-11-22,2021-05-09,129,116,106,2,2020-12-28,2021-05-08,128
7,2020,352,15,366,156,124,3,2019-10-28,2020-04-06,97,24,156,320,89,59,3,2019-11-10,2020-02-18,49,14,14,1,2019-12-12,2019-12-25,359
7,2021,365,1,365,146,146,1,2020-11-24,2021-04-18,108,6,78,116,74,52,3,2020-11-24,2021-04-18,108,27,27,1,2021-03-21,2021-04-16,106
8,2020,352,15,366,163,163,1,2019-10-28,2020-04-07,98,94,104,166,136,77,2,2019-11-09,2020-03-27,87,58,22,3,2019-12-12,2020-02-18,49
8,2021,365,1,365,161,161,1,2020-11-24,2021-05-03,123,14,64,112,142,106,3,2020-11-24,2021-05-03,123,93,61,2,2021-01-24,2021-04-27,117
9,2020,352,15,366,186,186,1,2019-10-28,2020-04-30,121,0,120,128,169,93,3,2019-11-10,2020-04-28,119,23,14,2,2019-12-12,2020-02-18,49
9,2021,365,1,365,151,151,1,2020-11-21,2021-04-20,110,10,48,102,130,87,3,2020-11-22,2021-04-20,110,55,45,2,2021-02-06,2021-04-18,108
10,2020,352,15,366,182,160,2,2019-10-28,2020-04-30,121,164,76,138,179,160,2,2019-10-31,2020-04-30,121,98,41,4,2019-11-10,2020-04-21,112
10,2021,365,1,365,146,146,1,2020-12-08,2021-05-02,122,48,26,88,146,146,1,2020-12-08,2021-05-02,122,116,97,2,2020-12-20,2021-04-29,119
11,2020,352,15,366,190,190,1,2019-10-28,2020-05-04,125,0,120,92,185,164,2,2019-11-01,2020-05-04,125,164,153,2,2019-11-10,2020-05-04,125
11,2021,365,1,365,163,163,1,2020-11-21,2021-05-02,122,14,48,84,162,109,2,2020-11-21,2021-05-02,122,115,95,2,2020-12-19,2021-04-29,119
12,2020,352,15,366,183,160,2,2019-10-28,2020-04-30,121,36,250,140,168,94,3,2019-11-10,2020-04-30,121,113,60,4,2019-12-12,2020-04-21,112
12,2021,365,1,365,148,148,1,2020-11-24,2021-04-20,110,104,78,90,99,87,2,2020-11-25,2021-04-20,110,86,86,1,2021-01-24,2021-04-19,109
13,2020,352,15,366,157,140,2,2019-10-28,2020-04-10,101,20,110,262,52,22,3,2019-12-12,2020-02-24,55,0,0,0,NA,NA,0
13,2021,365,1,365,141,141,1,2020-11-28,2021-04-17,107,26,20,110,95,51,4,2020-11-28,2021-04-17,107,49,49,1,2021-02-26,2021-04-15,105
14,2020,352,15,366,186,186,1,2019-10-28,2020-04-30,121,6,62,100,173,173,1,2019-11-10,2020-04-30,121,150,141,2,2019-11-10,2020-04-22,113
14,2021,365,1,365,151,151,1,2020-11-21,2021-04-20,110,4,56,112,132,58,4,2020-11-21,2021-04-20,110,93,57,3,2020-12-31,2021-04-18,108
15,2020,352,15,366,162,162,1,2019-10-29,2020-04-07,98,38,128,252,141,141,1,2019-11-08,2020-03-27,87,44,15,4,2019-11-10,2020-02-18,49
15,2021,365,1,365,146,146,1,2020-11-25,2021-04-19,109,4,28,130,137,125,2,2020-11-25,2021-04-19,109,34,34,1,2021-03-15,2021-04-17,107
16,2020,352,15,366,191,191,1,2019-10-28,2020-05-05,126,0,84,84,178,178,1,2019-11-10,2020-05-05,126,150,128,2,2019-12-05,2020-05-05,126
16,2021,365,1,365,172,172,1,2020-11-20,2021-05-10,130,12,74,50,155,106,2,2020-11-21,2021-05-10,130,96,96,1,2021-02-03,2021-05-09,129
17,2020,352,15,366,188,188,1,2019-10-29,2020-05-03,124,194,50,134,178,178,1,2019-11-08,2020-05-03,124,86,28,5,2019-11-10,2020-03-12,72
17,2021,365,1,365,169,169,1,2020-11-25,2021-05-12,132,4,20,90,169,169,1,2020-11-25,2021-05-12,132,114,114,1,2021-01-18,2021-05-11,131
18,2020,352,15,366,156,125,3,2019-10-28,2020-04-06,97,58,148,302,116,63,4,2019-11-05,2020-03-12,72,15,15,1,2019-12-12,2019-12-26,360
18,2021,365,1,365,129,129,1,2020-12-08,2021-04-15,105,44,60,120,119,88,2,2020-12-08,2021-04-15,105,67,46,2,2021-02-04,2021-04-12,102
19,2020,352,15,366,190,190,1,2019-10-28,2020-05-04,125,0,136,130,178,178,1,2019-11-09,2020-05-04,125,119,41,5,2019-11-10,2020-04-28,119
19,2021,365,1,365,168,168,1,2020-11-24,2021-05-10,130,8,32,88,163,150,2,2020-11-24,2021-05-10,130,97,73,2,2021-01-24,2021-05-08,128
21,2020,352,15,366,189,189,1,2019-10-28,2020-05-03,124,0,98,104,174,161,2,2019-11-09,2020-05-03,124,113,33,6,2019-11-10,2020-05-03,124
