site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
1,2019,9,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,6.87,8.89,5.14,7.23,6.54,4.91,9.4,-0.1,6.99,2.83,4.39,10.12,-1.81,7.2,1.62,1.24,0.04,30.5,30.5,45,22.3,109.94,109.94,109.94,0,16,16,16,0,78.51,66.84,55.64,0,16,11,8,0,70.2,57.93,54.3,0,16,9,8,0
1,2019,10,1,1,1,1,4.77,8.27,2.7,5.11,4.5,2.23,8.9,-2.73,3.51,0.84,1.5,9.38,-5.88,3.18,-0.39,1.04,0.03,35.5,35.8,45.3,30.2,147.98,142.3,62.55,0,31,29,11,0,74.77,47.21,31.88,-5.55,27,9,5,4,59.78,44.58,32.73,-13.21,21,8,5,10
1,2019,11,1,1,1,1,2.25,2.83,1.39,2.31,2.18,-0.76,0.77,-5.6,-0.44,-1.21,-2.35,0.94,-14.62,-1.47,-3.67,2.98,0.08,40.6,38.5,45.4,34.1,67.49,0,0,0,30,0,0,0,3.39,0,0,-26.19,12,0,0,18,1.35,0,0,-71.72,3,0,0,27
1,2019,12,1,1,1,1,2.15,2.27,2.02,2.17,2.14,0.41,0.65,-0.29,0.47,0.33,-0.57,-0.12,-2.88,-0.39,-0.79,1.58,0.04,42.4,42.7,45.3,40.8,66.75,0,0,0,31,0,0,0,13.02,0,0,-0.35,28,0,0,3,0,0,0,-17.77,0,0,0,31
1,2020,1,1,1,1,1,1.86,2.08,1.45,1.88,1.84,0.34,0.65,-0.85,0.43,0.24,-0.8,-0.12,-4.38,-0.55,-1.1,0.81,0.02,46.9,46.7,47.7,45.2,57.69,0,0,0,31,0,0,0,12.65,0,0,-1.98,25,0,0,6,0,0,0,-24.65,0,0,0,31
1,2020,2,1,1,1,1,1.37,1.52,1.14,1.39,1.36,0.07,0.46,-0.85,0.15,0,-0.96,-0.12,-3.44,-0.73,-1.18,0.4,0.01,47.2,47.1,47.7,46.6,39.86,0,0,0,29,0,0,0,5.18,0,0,-3.02,18,0,0,11,0,0,0,-27.86,0,0,0,29
1,2020,3,1,1,1,0.967741935483871,1.04,1.14,0.89,1.05,1.03,-0.13,0.27,-0.79,-0.03,-0.23,-0.97,-0.19,-3.5,-0.6,-1.31,0.26,0.01,46.9,46.9,47.5,46.5,32.29,0,0,0,31,0,0,0,1.43,0,0,-5.36,12,0,0,19,0,0,0,-30.22,0,0,0,31
1,2020,4,1,1,1,0.13333333333333333,0.93,1.02,0.89,0.96,0.92,0.07,1.09,-1.16,0.27,-0.13,-0.52,1.62,-4,0.05,-1.19,0.26,0.01,47.2,47.3,47.7,47.1,28.02,0,0,0,30,0,0,0,4.05,0,0,-1.96,19,0,0,11,0,0,0,-15.67,0,0,0,30
1,2020,5,1,1,1,0.9354838709677419,3.05,5.89,0.89,3.35,2.77,5,18.09,-0.54,8.87,2.22,6.06,24.38,-2.5,12.22,1.23,0.54,0.01,48,47.7,48.6,46.4,94.68,52,32.22,0,31,11,6,0,154.96,138.34,95.67,0,31,22,11,0,188,178.7,136.41,-0.01,30,25,14,1
1,2020,6,1,1,1,1,8.38,11.02,5.39,8.77,8.04,13.49,25.02,5.84,18.44,10.24,16.02,31.5,5.38,23.36,10.73,1.45,0.03,45,44.7,47.7,41.1,251.5,251.5,251.5,0,30,30,30,0,404.59,404.59,404.59,0,30,30,30,0,480.7,480.7,480.7,0,30,30,30,0
1,2020,7,1,1,1,1,10.13,11.64,9.02,10.41,9.89,12.94,22.21,9.02,15.71,10.86,14.03,27.38,8.25,18.79,10.6,0.66,0.01,44.5,44.6,49.2,43.1,313.99,313.99,313.99,0,31,31,31,0,401.13,401.13,401.13,0,31,31,31,0,434.88,434.88,434.88,0,31,31,31,0
1,2020,8,1,1,1,1,10.67,12.39,9.39,10.98,10.42,12.72,19.59,7.34,15.2,10.63,13.44,23.75,5.62,17.68,10.02,0.88,0.02,43.2,43.2,45,41.3,330.88,330.88,330.88,0,31,31,31,0,394.29,394.29,394.29,0,31,31,31,0,416.69,416.69,416.69,0,31,31,31,0
1,2020,9,1,1,1,1,8.99,10.52,7.64,9.19,8.8,9.41,15.27,4.27,11.07,7.85,9.37,18.19,1,12.37,6.67,2.59,0.06,46.5,45.6,50.5,41.5,269.66,269.66,269.66,0,30,30,30,0,282.16,282.16,282.16,0,30,30,30,0,281.25,281.25,281.25,0,30,30,30,0
1,2020,10,1,1,1,1,6.9,9.14,4.39,7.08,6.74,5.78,11.15,0.65,6.67,4.83,4.97,12.75,-2.44,6.52,3.29,0.85,0.02,47.9,47.8,50.1,46,213.95,213.95,190.29,0,31,31,26,0,179.29,163.32,152.73,0,31,22,19,0,158.29,150.87,143.26,-4.3,26,19,17,5
